State,District,Block,DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,DECCAN PLATU  HOT SEMI-ARID ECO-REGION,EASTERN COASTAL PLAIN  HOT SUBHUMID TO SEMI-ARID EGO-REGION,EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,KARNATAKA PLATEAU (RAYALSEEMA AS INCLUSION),WESTERN GHATS AND COASTAL PLAIN  HOT HUMID-PERHUMID ECO-REGION
KA,Yadgir,Yadgir,0.21530268943320255,1116.4014900554641,0.0,0.0,0.0,0.0
TN,Ariyalur,Ariyalur,0.0,0.0,0.0,719.4791161434769,0.0,0.0
TN,Ariyalur,Sendurai,0.0,0.0,0.0,331.03275772999905,0.0,0.0
TN,Ariyalur,Udayarpalayam,0.0,0.0,50.91091117038381,925.675604600424,0.0,0.0
TN,Chengalpattu,Alandur,0.0,0.0,96.65126847923639,0.0,0.0,0.0
TN,Chengalpattu,Chengalpattu,0.0,0.0,825.5516568678729,0.0,0.0,0.0
TN,Chengalpattu,Cheyyur,0.0,0.0,580.9795396995588,0.0,0.0,0.0
TN,Chengalpattu,Maduranthakam,0.0,0.0,731.544394824797,19.689351065029182,0.0,0.0
TN,Chengalpattu,Sholinganallur,0.0,0.0,171.87034885685713,0.0,0.0,0.0
TN,Chengalpattu,Tambaram,0.0,0.0,67.28235662096343,0.0,0.0,0.0
TN,Chengalpattu,Tirukalukundram,0.0,0.0,398.6964244027775,0.0,0.0,0.0
TN,Chennai,Chennai,0.0,0.0,177.76740694780335,0.0,0.0,0.0
TN,Coimbatore,Coimbatore North,0.0,0.0,0.0,935.2250437244487,0.0,2.4972311017974502
TN,Coimbatore,Coimbatore South,0.0,0.0,0.0,773.9312034359352,0.0,5.908053691661703
TN,Coimbatore,Mettupalayam,0.0,0.0,0.0,702.7666652873369,0.0,15.37659861985378
TN,Coimbatore,Pollachi,0.0,0.0,0.0,1164.7414523959703,0.0,9.628578794963513
TN,Coimbatore,Sulur,0.0,0.0,0.0,603.4032090857467,0.0,0.0
TN,Coimbatore,Valparai,0.0,0.0,0.0,707.8619527637513,0.0,11.798344554913106
TN,Cuddalore,Chidambaram,0.0,0.0,632.0630270940067,0.0,0.0,0.0
TN,Cuddalore,Cuddalore,0.0,0.0,328.0306502519276,0.0,0.0,0.0
TN,Cuddalore,Kattumannarkoil,0.0,0.0,412.4862867005789,58.297123998251436,0.0,0.0
TN,Cuddalore,Kurinjipadi,0.0,0.0,381.1398141006558,0.0,0.0,0.0
TN,Cuddalore,Panruti,0.0,0.0,519.2320391774466,3.9512299089171785,0.0,0.0
TN,Cuddalore,Tittakudi,0.0,0.0,0.0,642.0264293896893,0.0,0.0
TN,Cuddalore,Virudhachalam,0.0,0.0,160.16545051758527,746.265838519225,0.0,0.0
TN,Dharmapuri,Dharmapuri,0.0,0.0,0.0,853.8482384302621,0.0,0.0
TN,Dharmapuri,Harur,0.0,0.0,0.0,1014.3076768335546,0.0,0.0
TN,Dharmapuri,Palakkodu,0.0,0.0,0.0,774.6285417235144,0.0,0.0
TN,Dharmapuri,Pappireddipatti,0.0,0.0,0.0,896.6496732770056,0.0,0.0
TN,Dharmapuri,Pennagaram,0.0,0.0,0.0,1192.1323193847443,0.0,0.0
TN,Dindigul,Attur,0.0,0.0,0.0,241.50291822669573,0.0,0.0
TN,Dindigul,Dindiguleast,0.0,0.0,0.0,1206.2474064573191,0.0,0.0
TN,Dindigul,Kodaikanal,0.0,0.0,0.0,1066.0061338068674,0.0,1.8813483531118158
TN,Dindigul,Natham,0.0,0.0,0.0,617.0854082101587,0.0,0.0
TN,Dindigul,Nilakkottai,0.0,0.0,0.0,511.0760721407946,0.0,0.0
TN,Dindigul,Oddanchatram,0.0,0.0,0.0,813.2267033271962,0.0,0.0
