State,District,Block,zone_count,zone_label,display_color
KA,Koppal,Kanakagiri,2,Shared: Deccan Plateau (Semi-Arid) + Karnataka Plateau (incl. Rayalaseema),#888888
KA,Koppal,Karatagi,2,Shared: Deccan Plateau (Semi-Arid) + Karnataka Plateau (incl. Rayalaseema),#888888
KA,Koppal,Koppal,1,Karnataka Plateau (incl. Rayalaseema),#3682ba
KA,Koppal,Kukunoor,2,Shared: Deccan Plateau (Semi-Arid) + Karnataka Plateau (incl. Rayalaseema),#888888
KA,Koppal,Kushtagi,2,Shared: Deccan Plateau (Semi-Arid) + Karnataka Plateau (incl. Rayalaseema),#888888
KA,Koppal,Yelbarga,1,Karnataka Plateau (incl. Rayalaseema),#3682ba
KA,Mandya,Krishnarajpet,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Mandya,Maddur,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Mandya,Malavalli,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Mandya,Mandya,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Mandya,Nagamangala,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Mandya,Pandavapura,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Mandya,Shrirangapattana,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Mysuru,Heggadadevankote,2,"Shared: Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid) + Western Ghats & Coastal Plain (Humid–Perhumid)",#888888
KA,Mysuru,Hunsur,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Mysuru,Krishnarajanagara,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Mysuru,Mysuru,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Mysuru,Nanjangud,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Mysuru,Piriyapatna,2,"Shared: Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid) + Western Ghats & Coastal Plain (Humid–Perhumid)",#888888
KA,Mysuru,Saraguru,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Mysuru,Tirumakudal - Narsipur,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Raichur,Devadurga,1,Deccan Plateau (Semi-Arid),#fa9b58
KA,Raichur,Lingsugur,2,Shared: Deccan Plateau (Semi-Arid) + Karnataka Plateau (incl. Rayalaseema),#888888
KA,Raichur,Manvi,2,Shared: Deccan Plateau (Telangana) & Eastern Ghats (Semi-Arid) + Deccan Plateau (Semi-Arid),#888888
KA,Raichur,Maski,1,Deccan Plateau (Semi-Arid),#fa9b58
KA,Raichur,Raichur,2,Shared: Deccan Plateau (Telangana) & Eastern Ghats (Semi-Arid) + Deccan Plateau (Semi-Arid),#888888
KA,Raichur,Sindhnur,2,Shared: Deccan Plateau (Semi-Arid) + Karnataka Plateau (incl. Rayalaseema),#888888
KA,Raichur,Sirwar,2,Shared: Deccan Plateau (Telangana) & Eastern Ghats (Semi-Arid) + Deccan Plateau (Semi-Arid),#888888
KA,Ramanagara,Channapatna,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Ramanagara,Kanakapura,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Ramanagara,Magadi,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Ramanagara,Ramanagara,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
